"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"60000","All nationalities","2018000404","Apr. 2018","00000","Japan","350,545","187,170","163,375","411,276","236,642","174,634","411,276","236,642","174,634","0","0","0"
"60000","All nationalities","2018000404","Apr. 2018","01000","Hokkaido","40,638","23,939","16,699","10,477","6,516","3,961","11,500","6,794","4,706","-1,023","-278","-745"
"60000","All nationalities","2018000404","Apr. 2018","02000","Aomori-ken","4,011","2,280","1,731","3,183","1,869","1,314","4,816","2,740","2,076","-1,633","-871","-762"
"60000","All nationalities","2018000404","Apr. 2018","03000","Iwate-ken","3,805","2,062","1,743","3,334","2,000","1,334","4,901","2,712","2,189","-1,567","-712","-855"
"60000","All nationalities","2018000404","Apr. 2018","04000","Miyagi-ken","7,814","4,005","3,809","10,515","6,143","4,372","9,989","5,981","4,008","526","162","364"
"60000","All nationalities","2018000404","Apr. 2018","05000","Akita-ken","1,639","858","781","2,209","1,333","876","3,167","1,811","1,356","-958","-478","-480"
"60000","All nationalities","2018000404","Apr. 2018","06000","Yamagata-ken","2,896","1,622","1,274","2,737","1,623","1,114","3,345","1,837","1,508","-608","-214","-394"
"60000","All nationalities","2018000404","Apr. 2018","07000","Fukushima-ken","4,694","2,792","1,902","4,246","2,659","1,587","5,945","3,477","2,468","-1,699","-818","-881"
"60000","All nationalities","2018000404","Apr. 2018","08000","Ibaraki-ken","6,221","3,450","2,771","8,050","4,923","3,127","9,252","5,415","3,837","-1,202","-492","-710"
"60000","All nationalities","2018000404","Apr. 2018","09000","Tochigi-ken","2,629","1,396","1,233","5,175","3,092","2,083","5,960","3,404","2,556","-785","-312","-473"
"60000","All nationalities","2018000404","Apr. 2018","10000","Gumma-ken","3,156","1,637","1,519","5,259","3,245","2,014","5,435","3,155","2,280","-176","90","-266"
"60000","All nationalities","2018000404","Apr. 2018","11000","Saitama-ken","14,386","7,404","6,982","25,823","14,329","11,494","21,793","12,463","9,330","4,030","1,866","2,164"
"60000","All nationalities","2018000404","Apr. 2018","12000","Chiba-ken","12,476","6,589","5,887","23,860","13,658","10,202","20,448","12,132","8,316","3,412","1,526","1,886"
"60000","All nationalities","2018000404","Apr. 2018","13000","Tokyo-to","45,101","23,251","21,850","67,482","35,655","31,827","53,920","30,937","22,983","13,562","4,718","8,844"
"60000","All nationalities","2018000404","Apr. 2018","14000","Kanagawa-ken","21,727","11,420","10,307","33,577","19,274","14,303","28,158","16,231","11,927","5,419","3,043","2,376"
"60000","All nationalities","2018000404","Apr. 2018","15000","Niigata-ken","5,080","2,624","2,456","4,636","2,869","1,767","5,868","3,362","2,506","-1,232","-493","-739"
"60000","All nationalities","2018000404","Apr. 2018","16000","Toyama-ken","1,149","597","552","2,242","1,382","860","2,597","1,490","1,107","-355","-108","-247"
"60000","All nationalities","2018000404","Apr. 2018","17000","Ishikawa-ken","1,954","1,041","913","3,951","2,478","1,473","3,803","2,262","1,541","148","216","-68"
"60000","All nationalities","2018000404","Apr. 2018","18000","Fukui-ken","1,123","555","568","1,633","1,007","626","2,150","1,234","916","-517","-227","-290"
"60000","All nationalities","2018000404","Apr. 2018","19000","Yamanashi-ken","1,539","771","768","2,571","1,507","1,064","2,660","1,509","1,151","-89","-2","-87"
"60000","All nationalities","2018000404","Apr. 2018","20000","Nagano-ken","4,570","2,389","2,181","4,888","2,869","2,019","5,605","3,126","2,479","-717","-257","-460"
"60000","All nationalities","2018000404","Apr. 2018","21000","Gifu-ken","3,946","2,057","1,889","4,129","2,360","1,769","5,625","3,186","2,439","-1,496","-826","-670"
"60000","All nationalities","2018000404","Apr. 2018","22000","Shizuoka-ken","8,104","4,368","3,736","8,825","5,486","3,339","10,213","5,959","4,254","-1,388","-473","-915"
"60000","All nationalities","2018000404","Apr. 2018","23000","Aichi-ken","21,325","11,658","9,667","21,753","13,321","8,432","20,184","12,087","8,097","1,569","1,234","335"
"60000","All nationalities","2018000404","Apr. 2018","24000","Mie-ken","3,485","1,903","1,582","4,528","2,852","1,676","5,547","3,293","2,254","-1,019","-441","-578"
"60000","All nationalities","2018000404","Apr. 2018","25000","Shiga-ken","2,062","1,123","939","4,584","2,801","1,783","4,016","2,294","1,722","568","507","61"
"60000","All nationalities","2018000404","Apr. 2018","26000","Kyoto-fu","5,816","2,948","2,868","9,928","5,571","4,357","9,281","5,127","4,154","647","444","203"
"60000","All nationalities","2018000404","Apr. 2018","27000","Osaka-fu","22,696","11,359","11,337","26,336","14,536","11,800","26,082","14,751","11,331","254","-215","469"
"60000","All nationalities","2018000404","Apr. 2018","28000","Hyogo-ken","11,246","5,903","5,343","14,861","8,401","6,460","15,685","8,720","6,965","-824","-319","-505"
"60000","All nationalities","2018000404","Apr. 2018","29000","Nara-ken","1,924","950","974","3,914","2,042","1,872","4,174","2,294","1,880","-260","-252","-8"
"60000","All nationalities","2018000404","Apr. 2018","30000","Wakayama-ken","1,795","1,011","784","1,876","1,058","818","2,704","1,509","1,195","-828","-451","-377"
"60000","All nationalities","2018000404","Apr. 2018","31000","Tottori-ken","1,247","700","547","1,676","1,035","641","2,168","1,242","926","-492","-207","-285"
"60000","All nationalities","2018000404","Apr. 2018","32000","Shimane-ken","1,954","1,104","850","2,241","1,336","905","2,556","1,435","1,121","-315","-99","-216"
"60000","All nationalities","2018000404","Apr. 2018","33000","Okayama-ken","3,627","1,860","1,767","5,342","3,035","2,307","6,264","3,531","2,733","-922","-496","-426"
"60000","All nationalities","2018000404","Apr. 2018","34000","Hiroshima-ken","7,525","3,991","3,534","9,799","5,872","3,927","10,006","5,756","4,250","-207","116","-323"
"60000","All nationalities","2018000404","Apr. 2018","35000","Yamaguchi-ken","4,294","2,454","1,840","4,841","3,103","1,738","4,703","2,682","2,021","138","421","-283"
"60000","All nationalities","2018000404","Apr. 2018","36000","Tokushima-ken","1,786","952","834","1,811","1,042","769","2,320","1,324","996","-509","-282","-227"
"60000","All nationalities","2018000404","Apr. 2018","37000","Kagawa-ken","1,649","944","705","3,462","2,049","1,413","3,920","2,311","1,609","-458","-262","-196"
"60000","All nationalities","2018000404","Apr. 2018","38000","Ehime-ken","3,724","2,118","1,606","3,758","2,343","1,415","4,347","2,441","1,906","-589","-98","-491"
"60000","All nationalities","2018000404","Apr. 2018","39000","Kochi-ken","2,106","1,169","937","1,928","1,163","765","2,494","1,457","1,037","-566","-294","-272"
"60000","All nationalities","2018000404","Apr. 2018","40000","Fukuoka-ken","17,741","9,117","8,624","20,512","11,562","8,950","19,479","11,358","8,121","1,033","204","829"
"60000","All nationalities","2018000404","Apr. 2018","41000","Saga-ken","1,520","752","768","2,594","1,461","1,133","3,382","1,964","1,418","-788","-503","-285"
"60000","All nationalities","2018000404","Apr. 2018","42000","Nagasaki-ken","4,296","2,413","1,883","4,475","2,708","1,767","6,123","3,448","2,675","-1,648","-740","-908"
"60000","All nationalities","2018000404","Apr. 2018","43000","Kumamoto-ken","6,592","3,283","3,309","5,240","3,079","2,161","6,665","3,917","2,748","-1,425","-838","-587"
"60000","All nationalities","2018000404","Apr. 2018","44000","Oita-ken","2,581","1,312","1,269","3,429","1,961","1,468","4,401","2,426","1,975","-972","-465","-507"
"60000","All nationalities","2018000404","Apr. 2018","45000","Miyazaki-ken","3,832","2,114","1,718","3,508","2,073","1,435","4,907","2,812","2,095","-1,399","-739","-660"
"60000","All nationalities","2018000404","Apr. 2018","46000","Kagoshima-ken","9,299","4,798","4,501","5,452","3,304","2,148","6,863","3,878","2,985","-1,411","-574","-837"
"60000","All nationalities","2018000404","Apr. 2018","47000","Okinawa-ken","7,765","4,127","3,638","4,626","2,657","1,969","5,855","3,368","2,487","-1,229","-711","-518"
"60000","All nationalities","2018000404","Apr. 2018","48000","Tokyo-Area","149,948","79,072","70,876","94,484","52,508","41,976","68,061","41,355","26,706","26,423","11,153","15,270"
"60000","All nationalities","2018000404","Apr. 2018","49000","Nagoya-Area","35,695","19,597","16,098","23,471","14,554","8,917","24,417","14,587","9,830","-946","-33","-913"
"60000","All nationalities","2018000404","Apr. 2018","50000","Osaka-Area","57,812","29,651","28,161","38,909","22,059","16,850","39,092","22,401","16,691","-183","-342","159"
"60000","All nationalities","2018000404","Apr. 2018","00416","Total of 21 major cities","77,309","39,283","38,026","209,730","114,638","95,092","191,507","108,401","83,106","18,223","6,237","11,986"
"60000","All nationalities","2018000404","Apr. 2018","01100","Sapporo-shi","5,399","2,680","2,719","13,791","8,185","5,606","12,114","7,306","4,808","1,677","879","798"
"60000","All nationalities","2018000404","Apr. 2018","04100","Sendai-shi","2,310","1,153","1,157","9,344","5,152","4,192","8,352","4,905","3,447","992","247","745"
"60000","All nationalities","2018000404","Apr. 2018","11100","Saitama-shi","1,780","908","872","7,936","4,448","3,488","6,685","3,737","2,948","1,251","711","540"
"60000","All nationalities","2018000404","Apr. 2018","12100","Chiba-shi","1,111","575","536","4,941","2,751","2,190","4,690","2,697","1,993","251","54","197"
