"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"60000","All nationalities","2017001212","Dec. 2017","00000","Japan","200,423","101,390","99,033","140,922","76,752","64,170","140,922","76,752","64,170","0","0","0"
"60000","All nationalities","2017001212","Dec. 2017","01000","Hokkaido","10,349","5,112","5,237","2,444","1,342","1,102","2,397","1,342","1,055","47","0","47"
"60000","All nationalities","2017001212","Dec. 2017","02000","Aomori-ken","949","438","511","850","493","357","898","492","406","-48","1","-49"
"60000","All nationalities","2017001212","Dec. 2017","03000","Iwate-ken","982","471","511","829","465","364","797","424","373","32","41","-9"
"60000","All nationalities","2017001212","Dec. 2017","04000","Miyagi-ken","4,240","2,112","2,128","2,036","1,150","886","2,176","1,228","948","-140","-78","-62"
"60000","All nationalities","2017001212","Dec. 2017","05000","Akita-ken","564","260","304","524","301","223","565","313","252","-41","-12","-29"
"60000","All nationalities","2017001212","Dec. 2017","06000","Yamagata-ken","897","428","469","610","329","281","647","353","294","-37","-24","-13"
"60000","All nationalities","2017001212","Dec. 2017","07000","Fukushima-ken","1,547","752","795","1,388","769","619","1,529","907","622","-141","-138","-3"
"60000","All nationalities","2017001212","Dec. 2017","08000","Ibaraki-ken","3,382","1,802","1,580","3,210","1,893","1,317","3,236","1,800","1,436","-26","93","-119"
"60000","All nationalities","2017001212","Dec. 2017","09000","Tochigi-ken","1,715","860","855","2,082","1,153","929","2,458","1,483","975","-376","-330","-46"
"60000","All nationalities","2017001212","Dec. 2017","10000","Gumma-ken","2,033","1,062","971","1,974","1,131","843","2,031","1,170","861","-57","-39","-18"
"60000","All nationalities","2017001212","Dec. 2017","11000","Saitama-ken","10,579","5,440","5,139","11,688","6,336","5,352","10,522","5,750","4,772","1,166","586","580"
"60000","All nationalities","2017001212","Dec. 2017","12000","Chiba-ken","9,444","4,882","4,562","9,411","5,085","4,326","9,683","5,245","4,438","-272","-160","-112"
"60000","All nationalities","2017001212","Dec. 2017","13000","Tokyo-to","36,820","18,711","18,109","25,834","13,610","12,224","25,048","13,342","11,706","786","268","518"
"60000","All nationalities","2017001212","Dec. 2017","14000","Kanagawa-ken","16,732","8,651","8,081","13,523","7,291","6,232","13,766","7,479","6,287","-243","-188","-55"
"60000","All nationalities","2017001212","Dec. 2017","15000","Niigata-ken","2,079","1,024","1,055","1,192","658","534","1,161","653","508","31","5","26"
"60000","All nationalities","2017001212","Dec. 2017","16000","Toyama-ken","853","422","431","786","519","267","706","387","319","80","132","-52"
"60000","All nationalities","2017001212","Dec. 2017","17000","Ishikawa-ken","1,069","522","547","895","534","361","954","550","404","-59","-16","-43"
"60000","All nationalities","2017001212","Dec. 2017","18000","Fukui-ken","577","284","293","593","345","248","531","314","217","62","31","31"
"60000","All nationalities","2017001212","Dec. 2017","19000","Yamanashi-ken","983","450","533","753","455","298","839","435","404","-86","20","-106"
"60000","All nationalities","2017001212","Dec. 2017","20000","Nagano-ken","2,307","1,121","1,186","1,585","842","743","1,469","795","674","116","47","69"
"60000","All nationalities","2017001212","Dec. 2017","21000","Gifu-ken","2,037","1,006","1,031","1,830","1,017","813","2,064","1,048","1,016","-234","-31","-203"
"60000","All nationalities","2017001212","Dec. 2017","22000","Shizuoka-ken","4,961","2,570","2,391","3,224","1,843","1,381","3,442","1,977","1,465","-218","-134","-84"
"60000","All nationalities","2017001212","Dec. 2017","23000","Aichi-ken","16,179","8,664","7,515","6,715","3,875","2,840","6,954","4,069","2,885","-239","-194","-45"
"60000","All nationalities","2017001212","Dec. 2017","24000","Mie-ken","1,678","853","825","2,037","1,202","835","1,940","1,054","886","97","148","-51"
"60000","All nationalities","2017001212","Dec. 2017","25000","Shiga-ken","1,536","833","703","1,668","930","738","1,831","1,031","800","-163","-101","-62"
"60000","All nationalities","2017001212","Dec. 2017","26000","Kyoto-fu","4,096","2,024","2,072","3,205","1,646","1,559","3,437","1,778","1,659","-232","-132","-100"
"60000","All nationalities","2017001212","Dec. 2017","27000","Osaka-fu","18,380","9,258","9,122","9,425","5,062","4,363","9,478","5,019","4,459","-53","43","-96"
"60000","All nationalities","2017001212","Dec. 2017","28000","Hyogo-ken","7,671","3,795","3,876","5,476","2,828","2,648","5,570","2,999","2,571","-94","-171","77"
"60000","All nationalities","2017001212","Dec. 2017","29000","Nara-ken","1,470","716","754","1,562","764","798","1,487","726","761","75","38","37"
"60000","All nationalities","2017001212","Dec. 2017","30000","Wakayama-ken","656","301","355","692","359","333","726","371","355","-34","-12","-22"
"60000","All nationalities","2017001212","Dec. 2017","31000","Tottori-ken","391","188","203","433","226","207","481","283","198","-48","-57","9"
"60000","All nationalities","2017001212","Dec. 2017","32000","Shimane-ken","362","168","194","520","310","210","499","265","234","21","45","-24"
"60000","All nationalities","2017001212","Dec. 2017","33000","Okayama-ken","2,334","1,154","1,180","1,590","880","710","1,664","877","787","-74","3","-77"
"60000","All nationalities","2017001212","Dec. 2017","34000","Hiroshima-ken","4,070","2,022","2,048","2,236","1,290","946","2,698","1,517","1,181","-462","-227","-235"
"60000","All nationalities","2017001212","Dec. 2017","35000","Yamaguchi-ken","998","530","468","1,217","644","573","1,378","797","581","-161","-153","-8"
"60000","All nationalities","2017001212","Dec. 2017","36000","Tokushima-ken","788","386","402","542","283","259","581","312","269","-39","-29","-10"
"60000","All nationalities","2017001212","Dec. 2017","37000","Kagawa-ken","782","402","380","945","512","433","925","514","411","20","-2","22"
"60000","All nationalities","2017001212","Dec. 2017","38000","Ehime-ken","1,113","525","588","931","527","404","958","512","446","-27","15","-42"
"60000","All nationalities","2017001212","Dec. 2017","39000","Kochi-ken","651","298","353","451","263","188","504","264","240","-53","-1","-52"
"60000","All nationalities","2017001212","Dec. 2017","40000","Fukuoka-ken","10,911","5,392","5,519","5,302","2,832","2,470","4,756","2,548","2,208","546","284","262"
"60000","All nationalities","2017001212","Dec. 2017","41000","Saga-ken","685","329","356","909","471","438","907","481","426","2","-10","12"
"60000","All nationalities","2017001212","Dec. 2017","42000","Nagasaki-ken","1,078","508","570","1,112","639","473","1,384","753","631","-272","-114","-158"
"60000","All nationalities","2017001212","Dec. 2017","43000","Kumamoto-ken","3,083","1,503","1,580","1,510","806","704","1,389","732","657","121","74","47"
"60000","All nationalities","2017001212","Dec. 2017","44000","Oita-ken","926","446","480","1,083","608","475","1,023","554","469","60","54","6"
"60000","All nationalities","2017001212","Dec. 2017","45000","Miyazaki-ken","961","454","507","1,055","575","480","901","476","425","154","99","55"
"60000","All nationalities","2017001212","Dec. 2017","46000","Kagoshima-ken","1,561","767","794","1,538","801","737","1,223","640","583","315","161","154"
"60000","All nationalities","2017001212","Dec. 2017","47000","Okinawa-ken","2,964","1,494","1,470","1,507","858","649","1,309","693","616","198","165","33"
"60000","All nationalities","2017001212","Dec. 2017","48000","Tokyo-Area","***","***","***","***","***","***","***","***","***","***","***","***"
"60000","All nationalities","2017001212","Dec. 2017","49000","Nagoya-Area","***","***","***","***","***","***","***","***","***","***","***","***"
"60000","All nationalities","2017001212","Dec. 2017","50000","Osaka-Area","***","***","***","***","***","***","***","***","***","***","***","***"
"60000","All nationalities","2017001212","Dec. 2017","00416","Total of 21 major cities","64,988","32,634","32,354","79,946","42,387","37,559","79,011","42,092","36,919","935","295","640"
"60000","All nationalities","2017001212","Dec. 2017","01100","Sapporo-shi","4,145","1,991","2,154","2,821","1,439","1,382","2,345","1,243","1,102","476","196","280"
"60000","All nationalities","2017001212","Dec. 2017","04100","Sendai-shi","1,711","826","885","2,021","1,095","926","1,968","1,078","890","53","17","36"
"60000","All nationalities","2017001212","Dec. 2017","11100","Saitama-shi","1,390","710","680","3,460","1,779","1,681","3,175","1,739","1,436","285","40","245"
"60000","All nationalities","2017001212","Dec. 2017","12100","Chiba-shi","1,002","502","500","2,430","1,334","1,096","2,287","1,238","1,049","143","96","47"
"60000","All nationalities","2017001212","Dec. 2017","13100","Ku-area of Tokyo","24,503","12,478","12,025","23,551","12,338","11,213","23,059","12,140","10,919","492","198","294"
"60000","All nationalities","2017001212","Dec. 2017","14100","Yokohama-shi","5,314","2,686","2,628","7,505","4,022","3,483","8,370","4,396","3,974","-865","-374","-491"
"60000","All nationalities","2017001212","Dec. 2017","14130","Kawasaki-shi","1,361","722","639","5,115","2,714","2,401","5,248","2,892","2,356","-133","-178","45"
"60000","All nationalities","2017001212","Dec. 2017","14150","Sagamihara-shi","382","187","195","2,074","1,117","957","1,652","888","764","422","229","193"
"60000","All nationalities","2017001212","Dec. 2017","15100","Niigata-shi","804","382","422","741","398","343","721","406","315","20","-8","28"
"60000","All nationalities","2017001212","Dec. 2017","22100","Shizuoka-shi","470","234","236","874","483","391","894","484","410","-20","-1","-19"
"60000","All nationalities","2017001212","Dec. 2017","22130","Hamamatsu-shi","1,070","555","515","1,138","679","459","1,116","673","443","22","6","16"
"60000","All nationalities","2017001212","Dec. 2017","23100","Nagoya-shi","4,463","2,310","2,153","5,057","2,808","2,249","4,943","2,771","2,172","114","37","77"
"60000","All nationalities","2017001212","Dec. 2017","26100","Kyoto-shi","2,342","1,141","1,201","2,543","1,276","1,267","2,790","1,399","1,391","-247","-123","-124"
"60000","All nationalities","2017001212","Dec. 2017","27100","Osaka-shi","5,440","2,718","2,722","7,073","3,755","3,318","6,645","3,449","3,196","428","306","122"
